Program,University/Hochschule,Location,Period Of Study,Area Of Study,Focus,Deadlines,Admission Semester,Annotation,Admission Modus,Admission Requirements,Lecture Period,Student Advisory,Link
Crop Sciences,University of Hohenheim,Stuttgart-Hohenheim,4 semesters,Agrobiology | Agricultural Science | Molecular Biology,"Plant Breeding, Crop Physiology, Seed Sciences, Crop Nutrition, Crop Protection",Until 15.03.2026,Winter Semester only,Der Master-Studiengang Crop Sciences bildet daher für wissenschaftliche Tätigkeiten in Forschungseinrichtungen sowie in der Privatwirtschaft aus und bietet eine fundierte methodische und biotechnologische Ausbildung für angehende Kulturpflanzenwissenschaftler.,Local admission restriction | More information regarding admission requirements,"Admission regulations:
https://www.uni-hohenheim.de/en/application-cropsciences-info",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-crop-sciences-w28221/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w28221&hec-offset=10"
Dairy Science,Kiel University,Kiel,4 semesters,Agricultural Science,-,Until 15.07.2026,Winter Semester only,Around 50 university-wide agreements of cooperation as well as more than 250 ERASMUS partnership contracts offer students a variety of opportunities to study abroad: http://www.international.uni-kiel.de/de/studium-im-ausland,Without admission restriction | More information regarding admission requirements,"-Relevant Bachelor's degree or an equivalent degree with a grade of at least 'good' (2.5). Further requirements are specified in the examination regulations/course qualification regulations.
- Successful aptitude assessment procedure.",07.04.2025 - 18.07.2025 | 13.10.2025 - 13.02.2026,zsbatuv.uni-kiel.de | http://www.zsb.uni-kiel.de,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/kiel-university-dairy-science-w58787/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w58787&hec-offset=11"
Development Economics,University of Göttingen,Göttingen,4 semesters,"Agricultural Economics | Economics | Economic Sciences, Economics",-,Application deadlines for the respective degree programme at https://www.uni-goettingen.de/de/3811.html,Winter Semester only,-,Local admission restriction | More information regarding admission requirements,150 credit points in the relevant Bachelor course,14.04.2025 - 18.07.2025 | 21.10.2024 - 07.02.2025,zentrale.studienberatungatuni-goettingen.de | https://www.uni-goettingen.de/de/1697.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-development-economics-w33862/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w33862&hec-offset=12"
Digital Farming,Weihenstephan-Triesdorf University of Applied Sciences,Freising,4 semesters,Agricultural Science | Husbandry | Artificial Intelligence,-,01.05.2026 - 15.07.2026,Winter Semester only,-,Without admission restriction | More information regarding admission requirements,"A prerequisite for admission to the Digital Farming degree programme is a successfully completed Bachelor's degree with at least 180 ECTS points or six semesters in one of the following courses of study:

    Computer Science
    Electrical Engineering
    Mechatronics
    Agricultural Engineering
    Agricultural Science
    Agribusiness
    Horticulture
    or equivalent degree courses

In addition, you must provide proof of English language skills at a minimum level of B2 according to the Common European Framework of Reference for Languages (CEFR).",17.03.2025 - 10.07.2025 | 01.10.2025 - 23.01.2026,studienberatungathswt.de | https://www.hswt.de/studium/im-studium/service-beratung/allgemeine-studienberatung,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-digital-farming-w72392/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w72392&hec-offset=13"
Environmental Protection and Agricultural Food Production,University of Hohenheim,Stuttgart-Hohenheim,4 semesters,Agricultural Science | Environmental Engineering | Sustainability Sciences (Economic),"Environmental protection, Sustainable Food Production",Until 15.03.2026,Winter Semester only,"Wie können wir die Weltbevölkerung versorgen, ohne die natürlichen Ressourcen für künftige Generationen zu erschöpfen? Zu den größten Herausforderungen der Zukunft zählt die Intensivierung der Nahrungsmittelproduktion mit umweltfreundlichen und nachhaltigen Produktionssystemen. Vor diesem Hintergrund wurde dieses breit gefächerte Masterstudium mit vielen Möglichkeiten zur individuellen Profilierung entwickelt.",Without admission restriction | More information regarding admission requirements,"Admission regulations: 
https://www.uni-hohenheim.de/en/application-envirofood-info",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-environmental-protection-and-agricultural-food-production-w6910/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w6910&hec-offset=14"
"Environmental Science - Soil, Water and Biodiversity",University of Hohenheim,Stuttgart-Hohenheim,4 semesters,Agrobiology | Ecology | Environmental Science,"Environmental Impacts, Climate change, Environmental Management, Soil Resources and Land Use, Ecosystems and Biodiversity",Until 15.01.2026,Winter Semester only,"Double degree Master's programme: Obligatory is at least one semester at one of the partner universities (University of Copenhagen/Denmark, Swedish University of Agricultural Sciences/Sweden, University of Natural Resources and Applied Life Science/Austria).",Without admission restriction | More information regarding admission requirements,"Admission regulations: 
https://www.uni-hohenheim.de/en/application-enveuro-info",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-environmental-science-soil-water-and-biodiversity-w18382/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w18382&hec-offset=15"
Farm Management,Weihenstephan-Triesdorf University of Applied Sciences,Triesdorf,4 semesters,Agricultural Economics | Husbandry,"Management Consultancy, Agricultural engineering economic consulting, Applied Research and Development Projects, Agribusiness",Until 15.01.2026,Summer Semester only,-,Without admission restriction | More information regarding admission requirements,"A completed university degree course in agricultural science or a related discipline with above average grades (that is, an overall examination grade of at least ""good"" )",17.03.2025 - 10.07.2025 | 01.10.2025 - 23.01.2026,studienberatung.triesdorfathswt.de | https://www.hswt.de/studium/studium-organisieren/ansprechpartner/allgemeine-studienberatung.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/weihenstephan-triesdorf-university-of-applied-sciences-farm-management-w65110/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w65110&hec-offset=16"
Food and Resource Economics (FRECO),University of Bonn,Bonn,4 semesters,Agricultural Science | Nutritional Science,-,"No standard application deadlines in the advanced degree programmes, please note the websites of the programmes.",Winter Semester only,"Application deadline: 30 April for the winter semester\;
International double degree possible by participating in the 'joint study programme' with the University of Wageningen (NL)",Local admission restriction | More information regarding admission requirements,-,07.04.2025 - 18.07.2025 | 13.10.2025 - 06.02.2026,zsbatuni-bonn.de | https://www.uni-bonn.de/zsb,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-bonn-food-and-resource-economics-freco-w7750/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w7750&hec-offset=17"
Food Systems,University of Hohenheim,Stuttgart-Hohenheim,4 semesters,"Agricultural Science | Food Technology | Economic Sciences, Economics","Food System, Agricultural Engineering, Agricultural Engineering, Precision Nutrition, Food Business Management, Food Processing, Innovation, Entrepreneurship",Until 30.03.2026,Winter Semester only,"Im Master-Studiengang Food Systems beschäftigst du dich mit den verschiedenen Aspekten des Lebensmittelsystems. Während deines Studiums an drei renommierten europäischen Hochschulen erhältst du tiefgreifende Einblicke in das gesamte Lebensmittelsystem und kannst gleichzeitig deine individuellen Schwerpunkte gemäß persönlichem Studienpfad setzen. Durch die enge Verzahnung von unternehmerischen Elementen und praxisnahen Projektarbeiten mit Industriepartnern des EIT-Food-Konsortiums sowie weiteren Akteuren entwickelst du praktische Fähigkeiten, die den Anforderungen der Arbeitswelt optimal gerecht werden – von Start-ups bis hin zu großen multinationalen Unternehmen.",Without admission restriction | More information regarding admission requirements,"Admission regulations:
https://www.uni-hohenheim.de/en/food-systems-masters",01.04.2025 - 12.07.2025 | 13.10.2025 - 31.01.2026,zsbatuni-hohenheim.de | https://www.uni-hohenheim.de/zsb-studieninteressierte,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-hohenheim-food-systems-w63868/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w63868&hec-offset=18"
Forest and Ecosystem Sciences,University of Göttingen,Göttingen,4 semesters,"Forestry | Ecology | Nature Conservation, Environmental Protection","Ecosystem Analysis and Modelling, Tropical and International Forestry, Ecosystem Sciences",Application deadlines for the respective degree programme at https://www.uni-goettingen.de/de/3811.html,Winter Semester only,-,Local admission restriction | More information regarding admission requirements,-,14.04.2025 - 18.07.2025 | 21.10.2024 - 07.02.2025,zentrale.studienberatungatuni-goettingen.de | https://www.uni-goettingen.de/de/1697.html,"https://www.daad.de/en/studying-in-germany/universities/all-degree-programmes/detail/university-of-goettingen-forest-and-ecosystem-sciences-w64235/?hec-degreeProgrammeType=w&hec-teachingLanguage=2&hec-deadlineId=3&hec-studyType=t,v&hec-admissionMode=O,X&hec-subjectGroup=1&hec-id=w64235&hec-offset=19"
